Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Year_as_date
Wii Sports,WII,Nintendo,Nintendo EAD,7.700000000000001,8.0,82.9,2006,Sports,41.49,29.02,3.77,8.46,82.74,2006-01-01
Super Mario Bros.,NES,Nintendo,Nintendo EAD,10.000000000000002,8.2,40.24,1985,Platform,29.08,3.58,6.81,0.77,40.24,1985-01-01
Mario Kart Wii,WII,Nintendo,Nintendo EAD,8.2,9.1,37.32,2008,Racing,15.85,12.88,3.79,3.31,35.82,2008-01-01
Wii Sports Resort,WII,Nintendo,Nintendo EAD,8.0,8.8,33.13,2009,Sports,15.75,11.01,3.28,2.96,33.0,2009-01-01
New Super Mario Bros.,DS,Nintendo,Nintendo EAD,9.1,8.1,30.8,2006,Platform,11.38,9.23,6.5,2.9,30.01,2006-01-01
New Super Mario Bros. Wii,WII,Nintendo,Nintendo EAD,8.6,9.2,30.3,2009,Platform,14.59,7.06,4.7,2.26,28.62,2009-01-01
Tetris,GB,Nintendo,Bullet Proof Software,9.4,8.7,30.26,1989,Puzzle,23.2,2.26,4.22,0.58,30.26,1989-01-01
Kinect Adventures!,X360,Microsoft Game Studios,Good Science Studio,6.7,,24.0,2010,Misc,14.97,4.94,0.24,1.67,21.82,2010-01-01
Nintendogs,DS,Nintendo,Nintendo EAD,8.4,8.5,23.96,2005,Simulation,9.07,11.0,1.93,2.75,24.76,2005-01-01
Mario Kart Ds,DS,Nintendo,Nintendo EAD,9.1,9.4,23.6,2005,Racing,9.81,7.57,4.13,1.92,23.42,2005-01-01
Wii Fit Plus,WII,Nintendo,Nintendo EAD,8.0,,21.13,2009,Sports,9.09,8.59,2.53,1.79,22.0,2009-01-01
Mario Kart 7,3DS,Nintendo,Nintendo EAD / Retro Studios,8.2,8.3,18.71,2011,Racing,4.74,3.91,2.67,0.89,12.21,2011-01-01
Super Mario Land,GB,Nintendo,Nintendo R&D1,9.4,,18.14,1989,Platform,10.83,2.71,4.18,0.42,18.14,1989-01-01
Call Of Duty: Black Ops 3,PS4,Activision,Treyarch,8.1,4.9,15.09,2015,Shooter,5.77,5.81,0.35,2.31,14.24,2015-01-01
Sonic The Hedgehog,GEN,Sega,Sonic Team,8.6,8.3,15.0,1991,Platform,3.03,0.91,0.26,0.13,4.34,1991-01-01
Gran Turismo 3: A-Spec,PS2,Sony Computer Entertainment,Polyphony Digital,9.3,8.9,14.89,2001,Racing,6.85,5.09,1.87,1.16,14.98,2001-01-01
Call Of Duty: Modern Warfare 3,X360,Activision,Infinity Ward,8.7,,14.82,2011,Shooter,9.03,4.28,0.13,1.32,14.76,2011-01-01
Call Of Duty: Black Ops,X360,Activision,Treyarch,8.8,,14.74,2010,Shooter,9.67,3.73,0.11,1.13,14.64,2010-01-01
